iter	Logloss
0	0.6415380838
1	0.5994293379
2	0.5655848768
3	0.5387053254
4	0.5119890799
5	0.490121697
6	0.4715701868
7	0.4569783462
8	0.4425983833
9	0.4295337485
10	0.4207572355
11	0.4107111214
12	0.4016957981
13	0.3944673336
14	0.3880999433
15	0.3823305108
16	0.3767378336
17	0.373330145
18	0.3689526901
19	0.364965649
20	0.3613254326
21	0.3579746533
22	0.3549642441
23	0.3524002743
24	0.3496116366
25	0.3474871729
26	0.3457831677
27	0.3434245502
28	0.3405585906
29	0.3396778416
30	0.3385010606
31	0.3377551571
32	0.3358075623
33	0.3349077786
34	0.3344544528
35	0.3337074698
36	0.3328645394
37	0.3325222011
38	0.3314615243
39	0.3308230677
40	0.3297311145
41	0.3286822271
42	0.3280379633
43	0.3276239526
44	0.3269961208
45	0.3266937304
46	0.3260265964
47	0.3248039438
48	0.3242341896
49	0.3233091102
50	0.3229591099
51	0.3220664591
52	0.3212734732
53	0.3209941867
54	0.3200696541
55	0.3194966508
56	0.3186549429
57	0.3184476363
58	0.3179524568
59	0.3173211135
60	0.3167717699
61	0.3163025294
62	0.3158171604
63	0.315476877
64	0.315070929
65	0.3147509503
66	0.3143662645
67	0.3140869945
68	0.313368364
69	0.3131792561
70	0.3121562289
71	0.3118872558
72	0.3114192654
73	0.3110310536
74	0.3102702093
75	0.3099722868
76	0.309363258
77	0.3091161978
78	0.3085375382
79	0.3083274136
80	0.3080657539
81	0.3071881115
82	0.3064990282
83	0.3057434634
84	0.3051574472
85	0.3049495755
86	0.3048128423
87	0.3042592192
88	0.3035677328
89	0.3032657927
90	0.3027139552
91	0.3024216099
92	0.3018290083
93	0.3015953221
94	0.3012310385
95	0.3006656685
96	0.2999445703
97	0.2997189017
98	0.2995307177
99	0.2993995026
100	0.2990665064
101	0.2988000294
102	0.2982934239
103	0.2979624222
104	0.2978039518
105	0.2976536066
106	0.2969838389
107	0.2965384636
108	0.2963304126
109	0.2958318455
110	0.2955356473
111	0.2951206271
112	0.2948438595
113	0.294648143
114	0.2945192412
115	0.29429839
116	0.2939682656
117	0.2937857922
118	0.2935043259
119	0.2931827363
120	0.2929155528
121	0.2926650573
122	0.2925938246
123	0.2924354056
124	0.2922293625
125	0.2920186826
126	0.29184983
127	0.2916336718
128	0.291376292
129	0.2912699891
130	0.2908007362
131	0.2906211977
132	0.2905023271
133	0.2901451251
134	0.2896282165
135	0.2893406194
136	0.2889393722
137	0.288799586
138	0.2886388521
139	0.2884977729
140	0.2883743527
141	0.2881603721
142	0.2879172263
143	0.2877981251
144	0.2876342841
145	0.2875247048
146	0.2872057097
147	0.2870546658
148	0.2869416709
149	0.286633308
